epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.0982,1.25548,1.5787,1.22728,0.90808,0.74374,0.78872,0.56257,1.17969,1.28036,0.97026,0.00332389,0.00332389,0.00332389
2,133.707,1.20919,0.95398,1.17734,0.89193,0.7048,0.75207,0.55904,1.1534,0.89436,0.98175,0.00661329,0.00661329,0.00661329
3,204.717,1.25709,0.86718,1.22724,0.88698,0.68386,0.72956,0.57457,1.03089,1.89162,0.9664,0.00985868,0.00985868,0.00985868
4,274.599,1.25458,0.82491,1.24608,0.91065,0.71895,0.77403,0.55574,1.24791,1.14339,1.06173,0.009802,0.009802,0.009802
5,344.566,1.23837,0.77115,1.23591,0.90051,0.70362,0.77096,0.61785,0.92667,0.63266,0.92445,0.009736,0.009736,0.009736
6,413.594,1.2022,0.726,1.22537,0.90341,0.73325,0.79031,0.64309,0.91519,0.70732,0.93813,0.00967,0.00967,0.00967
7,483.332,1.18168,0.70305,1.20995,0.90326,0.77489,0.81158,0.66359,0.87108,0.58974,0.90523,0.009604,0.009604,0.009604
8,552.684,1.14268,0.66986,1.19234,0.90515,0.73918,0.80012,0.6474,0.94669,0.65715,0.95525,0.009538,0.009538,0.009538
9,622.573,1.12542,0.65591,1.19206,0.92157,0.76823,0.82559,0.68003,0.81761,0.53075,0.8926,0.009472,0.009472,0.009472
10,692.344,1.1055,0.63838,1.1802,0.91378,0.75934,0.80332,0.66727,0.87302,0.76322,0.90837,0.009406,0.009406,0.009406
11,761.34,1.0971,0.6252,1.1722,0.92675,0.78742,0.82668,0.68646,0.85143,0.5438,0.89672,0.00934,0.00934,0.00934
12,830.381,1.0727,0.61217,1.16811,0.91307,0.78447,0.81734,0.67395,0.84745,0.55147,0.89958,0.009274,0.009274,0.009274
13,899.413,1.07146,0.60237,1.15637,0.93299,0.78245,0.8347,0.69762,0.80126,0.51068,0.87825,0.009208,0.009208,0.009208
14,968.52,1.0366,0.58156,1.14593,0.92672,0.77962,0.82463,0.69657,0.74329,0.51257,0.86843,0.009142,0.009142,0.009142
15,1037.94,1.03491,0.57945,1.13906,0.93611,0.76428,0.81398,0.69609,0.88447,0.53194,0.89092,0.009076,0.009076,0.009076
16,1106.83,1.02077,0.5653,1.13419,0.95315,0.75971,0.82413,0.69063,0.79019,0.48615,0.87474,0.00901,0.00901,0.00901
17,1175.85,1.02428,0.5686,1.14267,0.91278,0.78164,0.82832,0.69694,0.82214,0.50649,0.89087,0.008944,0.008944,0.008944
18,1244.91,1.01523,0.55295,1.13662,0.92677,0.78024,0.82968,0.7035,0.76224,0.48703,0.87437,0.008878,0.008878,0.008878
19,1314.36,1.00569,0.55305,1.13039,0.92799,0.79194,0.83196,0.69305,0.85227,0.46989,0.8839,0.008812,0.008812,0.008812
20,1383,1.00204,0.55294,1.12667,0.93323,0.7949,0.84828,0.72128,0.74262,0.46792,0.86708,0.008746,0.008746,0.008746
21,1451.61,0.98665,0.53243,1.11096,0.93677,0.79044,0.83866,0.71755,0.77878,0.48499,0.86709,0.00868,0.00868,0.00868
22,1520.81,0.98037,0.53201,1.11387,0.93386,0.79512,0.84373,0.72391,0.73334,0.44328,0.85496,0.008614,0.008614,0.008614
23,1589.83,0.97735,0.52399,1.11218,0.92708,0.78423,0.8333,0.72044,0.75485,0.47354,0.86296,0.008548,0.008548,0.008548
24,1658.82,0.97382,0.5242,1.11065,0.93425,0.79253,0.84842,0.73249,0.71807,0.44518,0.86804,0.008482,0.008482,0.008482
25,1727.87,0.96166,0.51719,1.10744,0.9242,0.79372,0.83476,0.71475,0.7511,0.46979,0.85649,0.008416,0.008416,0.008416
26,1797.67,0.95203,0.51227,1.09382,0.94576,0.79588,0.84456,0.72978,0.6914,0.45811,0.8413,0.00835,0.00835,0.00835
27,1866.5,0.93297,0.50523,1.08483,0.9328,0.79811,0.83711,0.72809,0.71519,0.42523,0.84752,0.008284,0.008284,0.008284
28,1935.5,0.94714,0.50774,1.09742,0.94944,0.81251,0.85103,0.73491,0.69579,0.40591,0.84943,0.008218,0.008218,0.008218
29,2004.71,0.94489,0.50826,1.09496,0.95296,0.81387,0.85622,0.74542,0.68643,0.39297,0.83571,0.008152,0.008152,0.008152
30,2073.93,0.93195,0.49994,1.0839,0.93253,0.81927,0.84943,0.72946,0.72653,0.42616,0.84886,0.008086,0.008086,0.008086
31,2143.74,0.93573,0.49866,1.0853,0.94373,0.81516,0.84696,0.73632,0.69759,0.39854,0.83864,0.00802,0.00802,0.00802
32,2212.67,0.92616,0.48882,1.07999,0.94607,0.80077,0.85574,0.73584,0.68485,0.39881,0.84678,0.007954,0.007954,0.007954
33,2282.17,0.90591,0.48821,1.06985,0.94686,0.79223,0.83859,0.73419,0.74636,0.41498,0.86059,0.007888,0.007888,0.007888
